B,kind,cpe_med,cpe_min,cpe_max,scratch_kb_per_thread
16,baseline,0.411,0.394,0.533,9.0
16,temporal,0.447,0.435,0.472,9.0
24,baseline,0.434,0.396,0.468,16.0
24,temporal,0.388,0.381,0.398,16.0
32,baseline,0.428,0.351,0.458,25.0
32,temporal,0.405,0.387,0.423,25.0
48,baseline,0.423,0.404,0.495,49.0
48,temporal,0.417,0.413,0.436,49.0
64,baseline,0.462,0.403,0.469,81.0
64,temporal,0.399,0.397,0.402,81.0
96,baseline,0.451,0.374,0.455,169.0
96,temporal,0.416,0.414,0.418,169.0
128,baseline,0.470,0.420,0.514,289.0
128,temporal,0.389,0.378,0.394,289.0
192,baseline,0.461,0.448,0.473,625.0
192,temporal,0.412,0.407,0.428,625.0
256,baseline,0.389,0.385,0.441,1089.0
256,temporal,0.389,0.381,0.399,1089.0
384,baseline,0.537,0.410,0.596,2401.0
384,temporal,0.653,0.641,0.666,2401.0
512,baseline,0.414,0.406,0.455,4225.0
512,temporal,0.603,0.599,0.607,4225.0
