T,kind,cpe_med,cpe_min,cpe_max,halo_overhead_pct
1,baseline,0.504,0.466,0.570,3.1
1,temporal,0.739,0.703,0.740,3.1
2,baseline,0.469,0.460,0.717,6.3
2,temporal,0.487,0.486,0.496,6.3
3,baseline,0.494,0.404,0.537,9.6
3,temporal,0.424,0.403,0.465,9.6
4,baseline,0.464,0.365,0.530,12.9
4,temporal,0.393,0.373,0.420,12.9
6,baseline,0.448,0.424,0.539,19.6
6,temporal,0.360,0.346,0.363,19.6
8,baseline,0.444,0.373,0.446,26.6
8,temporal,0.332,0.328,0.364,26.6
12,baseline,0.469,0.427,0.480,41.0
12,temporal,0.348,0.324,0.350,41.0
16,baseline,0.412,0.394,0.426,56.2
16,temporal,0.378,0.355,0.378,56.2
24,baseline,0.418,0.413,0.476,89.1
24,temporal,0.393,0.372,0.394,89.1
32,baseline,0.401,0.399,0.496,125.0
32,temporal,0.461,0.439,0.489,125.0
