threads,mode,sched,cpe_med,cpe_min,cpe_max,n_reps
1,strip,persistent,2.013,1.933,2.025,3
1,strip,spawn,2.262,2.133,2.350,3
1,interleaved,persistent,2.008,1.991,2.036,3
1,interleaved,spawn,2.117,2.098,2.332,3
1,block,persistent,2.047,1.979,2.395,3
1,block,spawn,2.103,2.095,2.128,3
2,strip,persistent,1.027,0.985,1.034,3
2,strip,spawn,1.185,1.135,1.227,3
2,interleaved,persistent,1.703,1.682,1.763,3
2,interleaved,spawn,1.728,1.700,1.738,3
2,block,persistent,1.386,1.372,1.418,3
2,block,spawn,1.431,1.426,1.458,3
3,strip,persistent,0.691,0.661,0.747,3
3,strip,spawn,0.913,0.803,0.944,3
3,interleaved,persistent,1.331,1.272,1.340,3
3,interleaved,spawn,1.380,1.363,1.392,3
3,block,persistent,0.968,0.968,0.979,3
3,block,spawn,1.072,1.069,1.077,3
4,strip,persistent,0.492,0.491,0.734,3
4,strip,spawn,0.610,0.600,0.645,3
4,interleaved,persistent,1.083,1.068,1.104,3
4,interleaved,spawn,1.203,1.155,1.208,3
4,block,persistent,0.742,0.733,0.742,3
4,block,spawn,0.822,0.800,0.849,3
6,strip,persistent,0.347,0.341,0.349,3
6,strip,spawn,0.484,0.467,0.493,3
6,interleaved,persistent,0.822,0.806,0.823,3
6,interleaved,spawn,0.910,0.899,0.913,3
6,block,persistent,0.555,0.522,0.568,3
6,block,spawn,0.629,0.617,0.656,3
8,strip,persistent,0.255,0.239,0.590,3
8,strip,spawn,0.393,0.389,0.402,3
8,interleaved,persistent,0.752,0.744,0.752,3
8,interleaved,spawn,0.776,0.744,0.797,3
8,block,persistent,0.544,0.532,0.549,3
8,block,spawn,0.596,0.596,0.614,3
