N,threads,mode,cpe_med,cpe_min,cpe_max,n_reps
66,1,slab,2.596,2.320,2.621,3
66,1,pencil,2.429,2.385,2.716,3
66,1,cube,2.532,2.500,2.615,3
66,2,slab,1.162,1.134,1.202,3
66,2,pencil,1.307,1.227,1.365,3
66,2,cube,1.381,1.296,1.581,3
66,3,slab,0.909,0.898,0.944,3
66,3,pencil,0.902,0.895,0.909,3
66,3,cube,2.078,2.035,2.088,3
66,4,slab,1.059,0.788,1.096,3
66,4,pencil,0.877,0.840,0.992,3
66,4,cube,1.172,1.156,1.199,3
66,6,slab,0.739,0.685,0.743,3
66,6,pencil,0.705,0.669,0.706,3
66,6,cube,1.257,1.246,1.317,3
66,8,slab,0.703,0.695,0.714,3
66,8,pencil,0.621,0.620,0.655,3
66,8,cube,1.340,1.328,1.351,3
130,1,slab,2.286,2.276,2.473,3
130,1,pencil,2.392,2.342,2.428,3
130,1,cube,3.343,3.250,3.364,3
130,2,slab,1.176,1.155,1.268,3
130,2,pencil,1.195,1.147,1.203,3
130,2,cube,1.573,1.512,1.584,3
130,3,slab,0.810,0.792,0.888,3
130,3,pencil,0.822,0.805,0.836,3
130,3,cube,1.319,1.309,1.327,3
130,4,slab,0.630,0.590,0.759,3
130,4,pencil,0.622,0.608,0.624,3
130,4,cube,0.838,0.817,0.839,3
130,6,slab,0.431,0.428,0.446,3
130,6,pencil,0.476,0.437,0.511,3
130,6,cube,0.818,0.807,0.827,3
130,8,slab,0.359,0.357,0.401,3
130,8,pencil,0.392,0.357,0.944,3
130,8,cube,0.508,0.500,0.521,3
194,1,slab,2.610,2.562,2.625,3
194,1,pencil,2.655,2.648,2.673,3
194,1,cube,4.187,4.157,4.215,3
194,2,slab,1.548,1.508,1.564,3
194,2,pencil,1.529,1.516,1.545,3
194,2,cube,2.516,2.505,2.519,3
194,3,slab,0.940,0.922,0.943,3
194,3,pencil,0.959,0.950,0.978,3
194,3,cube,1.436,1.433,1.449,3
194,4,slab,0.803,0.801,0.816,3
194,4,pencil,0.802,0.798,0.805,3
194,4,cube,1.303,1.294,1.321,3
194,6,slab,0.563,0.561,0.565,3
194,6,pencil,0.562,0.562,0.562,3
194,6,cube,0.889,0.883,0.897,3
194,8,slab,0.465,0.444,0.467,3
194,8,pencil,0.465,0.454,0.495,3
194,8,cube,0.762,0.762,0.766,3
258,1,slab,2.737,2.733,2.741,3
258,1,pencil,2.735,2.728,2.742,3
258,1,cube,4.570,4.564,4.578,3
258,2,slab,1.638,1.636,1.763,3
258,2,pencil,1.614,1.614,1.644,3
258,2,cube,2.938,2.935,3.001,3
258,3,slab,1.092,1.071,1.093,3
258,3,pencil,1.103,1.102,1.112,3
258,3,cube,1.990,1.978,2.005,3
258,4,slab,0.878,0.875,0.894,3
258,4,pencil,0.894,0.864,0.896,3
258,4,cube,1.513,1.511,1.514,3
258,6,slab,0.648,0.640,0.656,3
258,6,pencil,0.640,0.638,0.646,3
258,6,cube,1.076,1.073,1.077,3
258,8,slab,0.539,0.538,0.546,3
258,8,pencil,0.539,0.537,0.547,3
258,8,cube,0.834,0.833,0.836,3
