iters,sched,time_s_med,time_s_min,time_s_max
1,persistent,2.658590e-04,2.234220e-04,7.372500e-04
1,spawn,2.088900e-04,1.888750e-04,2.106590e-04
2,persistent,3.780540e-04,3.587530e-04,3.976650e-04
2,spawn,5.786470e-04,4.115050e-04,6.676100e-04
4,persistent,5.398170e-04,4.962030e-04,5.701630e-04
4,spawn,1.000450e-03,8.929330e-04,1.015940e-03
8,persistent,9.208930e-04,8.967980e-04,1.005773e-03
8,spawn,2.050711e-03,2.013784e-03,2.130429e-03
16,persistent,1.749585e-03,1.591853e-03,1.874064e-03
16,spawn,4.006046e-03,3.722995e-03,4.341309e-03
32,persistent,3.199102e-03,2.932923e-03,3.493666e-03
32,spawn,7.133223e-03,5.994043e-03,7.605279e-03
64,persistent,5.189969e-03,4.915262e-03,5.642458e-03
64,spawn,1.445210e-02,1.364654e-02,1.530443e-02
128,persistent,9.543554e-03,9.174119e-03,1.116178e-02
128,spawn,2.821680e-02,2.819003e-02,3.153575e-02
256,persistent,2.043296e-02,1.976566e-02,2.087445e-02
256,spawn,5.862817e-02,5.521422e-02,6.045196e-02
512,persistent,4.216503e-02,3.768119e-02,4.326729e-02
512,spawn,1.208355e-01,1.201605e-01,1.209458e-01
