# N=128  omega_opt(theory) = 1.9517
# omega, iters, seconds, cycles
0.5000, 7225, 0.113908, 2.28e+08
0.5100, 7084, 0.111590, 2.23e+08
0.5200, 6948, 0.110618, 2.21e+08
0.5300, 6817, 0.108374, 2.17e+08
0.5400, 6690, 0.105689, 2.11e+08
0.5500, 6568, 0.103618, 2.07e+08
0.5600, 6450, 0.101725, 2.03e+08
0.5700, 6336, 0.099951, 2e+08
0.5800, 6226, 0.099877, 2e+08
0.5900, 6119, 0.096684, 1.93e+08
0.6000, 6015, 0.101037, 2.02e+08
0.6100, 5915, 0.094212, 1.88e+08
0.6200, 5817, 0.092645, 1.85e+08
0.6300, 5723, 0.092250, 1.85e+08
0.6400, 5631, 0.090453, 1.81e+08
0.6500, 5541, 0.087546, 1.75e+08
0.6600, 5455, 0.087044, 1.74e+08
0.6700, 5370, 0.084809, 1.7e+08
0.6800, 5288, 0.083522, 1.67e+08
0.6900, 5208, 0.082263, 1.65e+08
0.7000, 5130, 0.081038, 1.62e+08
0.7100, 5054, 0.080364, 1.61e+08
0.7200, 4980, 0.078764, 1.58e+08
0.7300, 4908, 0.077565, 1.55e+08
0.7400, 4837, 0.076930, 1.54e+08
0.7500, 4768, 0.075346, 1.51e+08
0.7600, 4701, 0.077592, 1.55e+08
0.7700, 4635, 0.073191, 1.46e+08
0.7800, 4571, 0.072131, 1.44e+08
0.7900, 4508, 0.071108, 1.42e+08
0.8000, 4446, 0.070089, 1.4e+08
0.8100, 4386, 0.069152, 1.38e+08
0.8200, 4327, 0.068407, 1.37e+08
0.8300, 4269, 0.067913, 1.36e+08
0.8400, 4212, 0.066457, 1.33e+08
0.8500, 4157, 0.066249, 1.32e+08
0.8600, 4103, 0.065606, 1.31e+08
0.8700, 4049, 0.065470, 1.31e+08
0.8800, 3997, 0.063773, 1.28e+08
0.8900, 3945, 0.062099, 1.24e+08
0.9000, 3895, 0.062028, 1.24e+08
0.9100, 3845, 0.065138, 1.3e+08
0.9200, 3796, 0.059741, 1.19e+08
0.9300, 3748, 0.058993, 1.18e+08
0.9400, 3701, 0.058221, 1.16e+08
0.9500, 3655, 0.057510, 1.15e+08
0.9600, 3609, 0.056731, 1.13e+08
0.9700, 3564, 0.056014, 1.12e+08
0.9800, 3520, 0.055338, 1.11e+08
0.9900, 3477, 0.054668, 1.09e+08
1.0000, 3434, 0.053968, 1.08e+08
1.0100, 3391, 0.053392, 1.07e+08
1.0200, 3350, 0.053040, 1.06e+08
1.0300, 3309, 0.051963, 1.04e+08
1.0400, 3268, 0.051361, 1.03e+08
1.0500, 3228, 0.050681, 1.01e+08
1.0600, 3189, 0.050098, 1e+08
1.0700, 3150, 0.049527, 9.91e+07
1.0800, 3112, 0.049820, 9.96e+07
1.0900, 3074, 0.050378, 1.01e+08
1.1000, 3036, 0.048620, 9.72e+07
1.1100, 2999, 0.047111, 9.42e+07
1.1200, 2963, 0.046548, 9.31e+07
1.1300, 2927, 0.045949, 9.19e+07
1.1400, 2891, 0.045403, 9.08e+07
1.1500, 2855, 0.044807, 8.96e+07
1.1600, 2820, 0.044285, 8.86e+07
1.1700, 2786, 0.043739, 8.75e+07
1.1800, 2752, 0.043252, 8.65e+07
1.1900, 2718, 0.042704, 8.54e+07
1.2000, 2684, 0.042179, 8.44e+07
1.2100, 2651, 0.041656, 8.33e+07
1.2200, 2618, 0.042003, 8.4e+07
1.2300, 2585, 0.041843, 8.37e+07
1.2400, 2553, 0.040103, 8.02e+07
1.2500, 2520, 0.039587, 7.92e+07
1.2600, 2489, 0.039071, 7.81e+07
1.2700, 2457, 0.038632, 7.73e+07
1.2800, 2426, 0.038480, 7.7e+07
1.2900, 2394, 0.037680, 7.54e+07
1.3000, 2363, 0.038594, 7.72e+07
1.3100, 2333, 0.036709, 7.34e+07
1.3200, 2302, 0.036867, 7.37e+07
1.3300, 2272, 0.039209, 7.84e+07
1.3400, 2242, 0.035676, 7.14e+07
1.3500, 2212, 0.034810, 6.96e+07
1.3600, 2182, 0.034336, 6.87e+07
1.3700, 2152, 0.033923, 6.78e+07
1.3800, 2123, 0.033455, 6.69e+07
1.3900, 2093, 0.032982, 6.6e+07
1.4000, 2064, 0.032547, 6.51e+07
1.4100, 2035, 0.032108, 6.42e+07
1.4200, 2006, 0.031677, 6.34e+07
1.4300, 1977, 0.031195, 6.24e+07
1.4400, 1948, 0.030759, 6.15e+07
1.4500, 1920, 0.030348, 6.07e+07
1.4600, 1891, 0.029892, 5.98e+07
1.4700, 1863, 0.029474, 5.89e+07
1.4800, 1834, 0.029027, 5.81e+07
1.4900, 1806, 0.029238, 5.85e+07
1.5000, 1777, 0.028235, 5.65e+07
1.5100, 1749, 0.027758, 5.55e+07
1.5200, 1720, 0.027321, 5.46e+07
1.5300, 1692, 0.026908, 5.38e+07
1.5400, 1664, 0.026498, 5.3e+07
1.5500, 1636, 0.026059, 5.21e+07
1.5600, 1607, 0.025635, 5.13e+07
1.5700, 1579, 0.025229, 5.05e+07
1.5800, 1551, 0.024807, 4.96e+07
1.5900, 1522, 0.024423, 4.88e+07
1.6000, 1494, 0.024070, 4.81e+07
1.6100, 1465, 0.023566, 4.71e+07
1.6200, 1437, 0.023147, 4.63e+07
1.6300, 1408, 0.022749, 4.55e+07
1.6400, 1379, 0.022291, 4.46e+07
1.6500, 1350, 0.021884, 4.38e+07
1.6600, 1321, 0.021496, 4.3e+07
1.6700, 1292, 0.022620, 4.52e+07
1.6800, 1263, 0.021367, 4.27e+07
1.6900, 1233, 0.021623, 4.32e+07
1.7000, 1203, 0.020528, 4.11e+07
1.7100, 1174, 0.019512, 3.9e+07
1.7200, 1143, 0.019097, 3.82e+07
1.7300, 1113, 0.018746, 3.75e+07
1.7400, 1082, 0.018328, 3.67e+07
1.7500, 1051, 0.017951, 3.59e+07
1.7600, 1020, 0.017585, 3.52e+07
1.7700, 989, 0.017232, 3.45e+07
1.7800, 957, 0.017261, 3.45e+07
1.7900, 924, 0.016423, 3.28e+07
1.8000, 891, 0.016078, 3.22e+07
1.8100, 858, 0.015714, 3.14e+07
1.8200, 824, 0.015396, 3.08e+07
1.8300, 789, 0.015063, 3.01e+07
1.8400, 754, 0.014807, 2.96e+07
1.8500, 718, 0.014544, 2.91e+07
1.8600, 681, 0.014416, 2.88e+07
1.8700, 643, 0.014213, 2.84e+07
1.8800, 604, 0.014176, 2.84e+07
1.8900, 564, 0.013942, 2.79e+07
1.9000, 522, 0.013550, 2.71e+07
1.9100, 478, 0.013301, 2.66e+07
1.9200, 431, 0.013355, 2.67e+07
1.9300, 380, 0.013783, 2.76e+07
1.9400, 323, 0.015107, 3.02e+07
1.9500, 254, 0.020669, 4.13e+07
1.9600, 304, 0.029085, 5.82e+07
1.9700, 407, 0.038920, 7.78e+07
1.9800, 613, 0.058663, 1.17e+08
1.9900, 1230, 0.120808, 2.42e+08
