tile,halo,inter,cpe_med,cpe_min,cpe_max,base_cpe_med
8,1,6,0.0303,0.0303,0.0303,0.0145
8,2,4,0.0336,0.0336,0.0336,0.0139
8,3,2,0.0885,0.0885,0.0885,0.0137
16,1,14,0.0112,0.0112,0.0112,0.0138
16,2,12,0.0094,0.0094,0.0094,0.0136
16,3,10,0.0111,0.0110,0.0111,0.0138
16,4,8,0.0113,0.0113,0.0113,0.0137
16,6,4,0.0412,0.0412,0.0413,0.0139
24,1,22,0.0132,0.0132,0.0132,0.0141
24,2,20,0.0099,0.0099,0.0099,0.0142
24,3,18,0.0101,0.0101,0.0102,0.0138
24,4,16,0.0088,0.0088,0.0088,0.0137
24,6,12,0.0144,0.0144,0.0144,0.0139
24,8,8,0.0246,0.0245,0.0246,0.0133
32,1,30,0.0157,0.0157,0.0157,0.0145
32,2,28,0.0116,0.0116,0.0116,0.0134
32,3,26,0.0107,0.0107,0.0108,0.0138
32,4,24,0.0091,0.0091,0.0091,0.0137
32,6,20,0.0117,0.0117,0.0117,0.0132
32,8,16,0.0146,0.0146,0.0146,0.0133
32,12,8,0.0497,0.0497,0.0498,0.0139
