N,kind,cpe_med,cpe_min,cpe_max,n_reps
258,baseline,0.3945,0.3415,12.1325,3
258,temporal,0.0230,0.0226,0.0231,3
514,baseline,0.0957,0.0852,0.0974,3
514,temporal,0.0138,0.0138,0.0139,3
1026,baseline,0.0295,0.0294,0.0319,3
1026,temporal,0.0100,0.0100,0.0100,3
1538,baseline,0.0183,0.0179,0.0193,3
1538,temporal,0.0091,0.0091,0.0091,3
2050,baseline,0.0138,0.0136,0.0138,3
2050,temporal,0.0090,0.0090,0.0090,3
3074,baseline,0.0103,0.0103,0.0106,3
3074,temporal,0.0089,0.0089,0.0089,3
4098,baseline,0.0260,0.0259,0.0260,3
4098,temporal,0.0110,0.0110,0.0110,3
