binary,dim,N,iters,threads,mode,extra,time_s,gup_s,max_diff
sor2d_pth_decomp,2,512,32,1,strip,persistent,2.095120e-02,3.972660e-01,0.0000e+00
sor2d_pth_decomp,2,512,32,1,strip,spawn,2.872071e-02,2.897978e-01,0.0000e+00
sor2d_pth_decomp,2,512,32,1,interleaved,persistent,2.065525e-02,4.029581e-01,0.0000e+00
sor2d_pth_decomp,2,512,32,1,interleaved,spawn,2.851942e-02,2.918432e-01,0.0000e+00
sor2d_pth_decomp,2,512,32,1,block,persistent,2.983500e-02,2.789744e-01,0.0000e+00
sor2d_pth_decomp,2,512,32,1,block,spawn,3.461620e-02,2.404424e-01,0.0000e+00
sor2d_pth_decomp,2,512,32,4,strip,persistent,5.704790e-03,1.458984e+00,0.0000e+00
sor2d_pth_decomp,2,512,32,4,strip,spawn,1.022465e-02,8.140328e-01,0.0000e+00
sor2d_pth_decomp,2,512,32,4,interleaved,persistent,7.545583e-03,1.103056e+00,0.0000e+00
sor2d_pth_decomp,2,512,32,4,interleaved,spawn,1.053850e-02,7.897899e-01,0.0000e+00
sor2d_pth_decomp,2,512,32,4,block,persistent,9.216805e-03,9.030461e-01,0.0000e+00
sor2d_pth_decomp,2,512,32,4,block,spawn,1.121881e-02,7.418967e-01,0.0000e+00
sor2d_pth_decomp,2,1024,32,1,strip,persistent,8.915009e-02,3.749126e-01,0.0000e+00
sor2d_pth_decomp,2,1024,32,1,strip,spawn,9.702179e-02,3.444947e-01,0.0000e+00
sor2d_pth_decomp,2,1024,32,1,interleaved,persistent,8.376519e-02,3.990141e-01,0.0000e+00
sor2d_pth_decomp,2,1024,32,1,interleaved,spawn,1.110355e-01,3.010162e-01,0.0000e+00
sor2d_pth_decomp,2,1024,32,1,block,persistent,1.026729e-01,3.255338e-01,0.0000e+00
sor2d_pth_decomp,2,1024,32,1,block,spawn,1.091677e-01,3.061664e-01,0.0000e+00
sor2d_pth_decomp,2,1024,32,4,strip,persistent,4.456187e-02,7.500468e-01,0.0000e+00
sor2d_pth_decomp,2,1024,32,4,strip,spawn,2.950847e-02,1.132674e+00,0.0000e+00
sor2d_pth_decomp,2,1024,32,4,interleaved,persistent,2.503642e-02,1.334995e+00,0.0000e+00
sor2d_pth_decomp,2,1024,32,4,interleaved,spawn,4.373549e-02,7.642190e-01,0.0000e+00
sor2d_pth_decomp,2,1024,32,4,block,persistent,2.726005e-02,1.226098e+00,0.0000e+00
sor2d_pth_decomp,2,1024,32,4,block,spawn,2.956376e-02,1.130556e+00,0.0000e+00
sor3d_omp_part,3,66,20,1,slab,B=32,1.506134e-02,3.481019e-01,0.0000e+00
sor3d_omp_part,3,66,20,1,pencil,B=32,1.745105e-02,3.004336e-01,0.0000e+00
sor3d_omp_part,3,66,20,1,cube,B=32,1.436795e-02,3.649010e-01,0.0000e+00
sor3d_omp_part,3,66,20,4,slab,B=32,5.202941e-03,1.007676e+00,0.0000e+00
sor3d_omp_part,3,66,20,4,pencil,B=32,8.166886e-03,6.419681e-01,0.0000e+00
sor3d_omp_part,3,66,20,4,cube,B=32,5.582569e-03,9.391518e-01,0.0000e+00
sor3d_omp_part,3,130,20,1,slab,B=32,1.021648e-01,4.105430e-01,0.0000e+00
sor3d_omp_part,3,130,20,1,pencil,B=32,1.117190e-01,3.754335e-01,0.0000e+00
sor3d_omp_part,3,130,20,1,cube,B=32,3.439820e-01,1.219338e-01,0.0000e+00
sor3d_omp_part,3,130,20,4,slab,B=32,3.553595e-02,1.180299e+00,0.0000e+00
sor3d_omp_part,3,130,20,4,pencil,B=32,3.967663e-02,1.057122e+00,0.0000e+00
sor3d_omp_part,3,130,20,4,cube,B=32,5.511438e-02,7.610180e-01,0.0000e+00
sor2d_omp,2,512,32,1,baseline,,2.310000e-02,3.597900e-01,0.0000e+00
sor2d_omp,2,512,32,1,temporal,B=128;T=8,2.470000e-02,3.376000e-01,0.0000e+00
sor2d_omp,2,512,32,4,baseline,,7.200000e-03,1.162680e+00,0.0000e+00
sor2d_omp,2,512,32,4,temporal,B=128;T=8,7.300000e-03,1.143540e+00,0.0000e+00
sor2d_omp,2,1024,32,1,baseline,,6.340000e-02,5.273600e-01,0.0000e+00
sor2d_omp,2,1024,32,1,temporal,B=128;T=8,7.860000e-02,4.252200e-01,0.0000e+00
sor2d_omp,2,1024,32,4,baseline,,2.170000e-02,1.543420e+00,0.0000e+00
sor2d_omp,2,1024,32,4,temporal,B=128;T=8,2.280000e-02,1.466290e+00,0.0000e+00
sor3d_omp,3,66,20,1,baseline,,1.900000e-02,2.761300e-01,0.0000e+00
sor3d_omp,3,66,20,1,temporal,B=32;T=2,5.250000e-02,9.977000e-02,0.0000e+00
sor3d_omp,3,66,20,4,baseline,,6.800000e-03,7.715400e-01,0.0000e+00
sor3d_omp,3,66,20,4,temporal,B=32;T=2,9.000000e-03,5.852400e-01,0.0000e+00
sor3d_omp,3,130,20,1,baseline,,1.042000e-01,4.025800e-01,0.0000e+00
sor3d_omp,3,130,20,1,temporal,B=32;T=2,1.791000e-01,2.342200e-01,0.0000e+00
sor3d_omp,3,130,20,4,baseline,,3.500000e-02,1.199780e+00,0.0000e+00
sor3d_omp,3,130,20,4,temporal,B=32;T=2,5.020000e-02,8.362400e-01,0.0000e+00
sor2d_cpu,2,512,32,1,baseline,,3.230000e-02,2.580400e-01,0.0000e+00
sor2d_cpu,2,512,32,1,temporal,B=128;T=8,5.790000e-02,1.438100e-01,0.0000e+00
sor2d_cpu,2,1024,32,1,baseline,,1.175000e-01,2.844400e-01,0.0000e+00
sor2d_cpu,2,1024,32,1,temporal,B=128;T=8,2.420000e-01,1.380900e-01,0.0000e+00
sor3d_cpu,3,66,20,1,baseline,,1.500000e-02,3.487300e-01,0.0000e+00
sor3d_cpu,3,66,20,1,temporal,B=32;T=2,2.150000e-02,2.434200e-01,0.0000e+00
sor3d_cpu,3,130,20,1,baseline,,9.630000e-02,4.353800e-01,0.0000e+00
sor3d_cpu,3,130,20,1,temporal,B=32;T=2,1.693000e-01,2.477900e-01,0.0000e+00
sor2d_pth,2,512,32,1,pthread,strip,2.020000e-02,4.120000e-01,0.0000e+00
sor2d_pth,2,512,32,4,pthread,strip,6.100000e-03,1.371640e+00,0.0000e+00
sor2d_pth,2,1024,32,1,pthread,strip,6.570000e-02,5.086600e-01,0.0000e+00
sor2d_pth,2,1024,32,4,pthread,strip,2.210000e-02,1.512460e+00,0.0000e+00
sor2d_pth_temporal,2,512,32,1,baseline,strip,2.674561e-02,3.111987e-01,0.0000e+00
sor2d_pth_temporal,2,512,32,1,temporal,B=128;T=8,2.677601e-02,3.108455e-01,0.0000e+00
sor2d_pth_temporal,2,512,32,4,baseline,strip,7.073143e-03,1.176733e+00,0.0000e+00
sor2d_pth_temporal,2,512,32,4,temporal,B=128;T=8,7.461870e-03,1.115431e+00,0.0000e+00
sor2d_pth_temporal,2,1024,32,1,baseline,strip,6.734830e-02,4.962782e-01,0.0000e+00
sor2d_pth_temporal,2,1024,32,1,temporal,B=128;T=8,8.442385e-02,3.959010e-01,0.0000e+00
sor2d_pth_temporal,2,1024,32,4,baseline,strip,3.144693e-02,1.062854e+00,0.0000e+00
sor2d_pth_temporal,2,1024,32,4,temporal,B=128;T=8,4.200371e-02,7.957270e-01,0.0000e+00
sor3d_pth_temporal,3,66,20,1,baseline,strip,2.284858e-02,2.294619e-01,0.0000e+00
sor3d_pth_temporal,3,66,20,1,temporal,B=32;T=2,2.748486e-02,1.907552e-01,0.0000e+00
sor3d_pth_temporal,3,66,20,4,baseline,strip,6.262648e-03,8.371666e-01,0.0000e+00
sor3d_pth_temporal,3,66,20,4,temporal,B=32;T=2,1.745010e-02,3.004499e-01,0.0000e+00
sor3d_pth_temporal,3,130,20,1,baseline,strip,1.923871e-01,2.180138e-01,0.0000e+00
sor3d_pth_temporal,3,130,20,1,temporal,B=32;T=2,4.435072e-01,9.457127e-02,0.0000e+00
sor3d_pth_temporal,3,130,20,4,baseline,strip,4.170341e-02,1.005746e+00,0.0000e+00
sor3d_pth_temporal,3,130,20,4,temporal,B=32;T=2,9.586820e-02,4.375073e-01,0.0000e+00
